Estado;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Total
Acre;5000;5200;5500;5800;6000;6200;6500;6800;7000;7200;61200
Alagoas;25000;26000;27000;28000;29000;30000;31000;32000;33000;34000;295000
Amapá;6000;6200;6500;6800;7000;7200;7500;7800;8000;8200;70200
Amazonas;40000;42000;44000;46000;48000;50000;52000;54000;56000;58000;500000
Bahia;70000;72000;75000;78000;80000;82000;85000;88000;90000;92000;812000
Ceará;90000;93000;96000;99000;102000;105000;108000;111000;114000;117000;1035000
Distrito Federal;55000;57000;59000;61000;63000;65000;67000;69000;71000;73000;640000
Espírito Santo;45000;47000;49000;51000;53000;55000;57000;59000;61000;63000;540000
Goiás;65000;67000;69000;71000;73000;75000;77000;79000;81000;83000;730000
Maranhão;50000;52000;54000;56000;58000;60000;62000;64000;66000;68000;590000
Mato Grosso;30000;31000;32000;33000;34000;35000;36000;37000;38000;39000;335000
Mato Grosso do Sul;28000;29000;30000;31000;32000;33000;34000;35000;36000;37000;315000
Minas Gerais;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;1425000
Pará;60000;62000;64000;66000;68000;70000;72000;74000;76000;78000;690000
Paraíba;35000;36000;37000;38000;39000;40000;41000;42000;43000;44000;395000
Paraná;95000;98000;100000;102000;105000;108000;110000;112000;115000;118000;1063000
Pernambuco;80000;83000;86000;89000;92000;95000;98000;101000;104000;107000;955000
Piauí;30000;31500;33000;34500;36000;37500;39000;40500;42000;43500;377500
Rio de Janeiro;80000;82000;85000;88000;90000;92000;95000;98000;100000;102000;912000
Rio Grande do Norte;38000;39500;41000;42500;44000;45500;47000;48500;50000;51500;457500
Rio Grande do Sul;85000;88000;90000;92000;95000;98000;100000;102000;105000;108000;963000
Rondônia;15000;15500;16000;16500;17000;17500;18000;18500;19000;19500;162500
Roraima;4000;4200;4400;4600;4800;5000;5200;5400;5600;5800;50000
Santa Catarina;75000;78000;80000;82000;85000;88000;90000;92000;95000;98000;823000
São Paulo;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;1725000
Sergipe;20000;21000;22000;23000;24000;25000;26000;27000;28000;29000;245000
Tocantins;12000;12500;13000;13500;14000;14500;15000;15500;16000;16500;142500
