PassengerId;Survived;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Cabin;Embarked
893;1;3;Wilkes, Mrs. James (Ellen Needs);female;47;1;0;363272;7;;S
894;0;2;Myles, Mr. Thomas Francis;male;62;0;0;240276;96875;;Q
895;0;3;Wirz, Mr. Albert;male;27;0;0;315154;86625;;S
896;1;3;Hirvonen, Mrs. Alexander (Helga E Lindqvist);female;22;1;1;3101298;122875;;S
897;0;3;Svensson, Mr. Johan Cervin;male;14;0;0;7538;9225;;S
898;1;3;Connolly, Miss. Kate;female;30;0;0;330972;76292;;Q
899;0;2;Caldwell, Mr. Albert Francis;male;26;1;1;248738;29;;S
900;1;3;Abrahim, Mrs. Joseph (Sophie Halaut Easu);female;18;0;0;2657;72292;;C
901;0;3;Davies, Mr. John Samuel;male;21;2;0;A/4 48871;2415;;S
903;0;1;Jones, Mr. Charles Cresson;male;46;0;0;694;26;;S
904;1;1;Snyder, Mrs. John Pillsbury (Nelle Stevenson);female;23;1;0;21228;822667;B45;S
905;0;2;Howard, Mr. Benjamin;male;63;1;0;24065;26;;S
906;1;1;Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood);female;47;1;0;W.E.P. 5734;61175;E31;S
907;1;2;del Carlo, Mrs. Sebastiano (Argenia Genovesi);female;24;1;0;SC/PARIS 2167;277208;;C
908;0;2;Keane, Mr. Daniel;male;35;0;0;233734;1235;;Q
909;0;3;Assaf, Mr. Gerios;male;21;0;0;2692;7225;;C
910;1;3;Ilmakangas, Miss. Ida Livija;female;27;1;0;STON/O2. 3101270;7925;;S
911;1;3;"Assaf Khalil, Mrs. Mariana (Miriam"")""";female;45;0;0;2696;7225;;C
912;0;1;Rothschild, Mr. Martin;male;55;1;0;PC 17603;594;;C
913;0;3;Olsen, Master. Artur Karl;male;9;0;1;C 17368;31708;;S
915;0;1;Williams, Mr. Richard Norris II;male;21;0;1;PC 17597;613792;;C
916;1;1;Ryerson, Mrs. Arthur Larned (Emily Maria Borie);female;48;1;3;PC 17608;262375;B57 B59 B63 B66;C
917;0;3;Robins, Mr. Alexander A;male;50;1;0;A/5. 3337;145;;S
918;1;1;Ostby, Miss. Helene Ragnhild;female;22;0;1;113509;619792;B36;C
920;0;1;Brady, Mr. John Bertram;male;41;0;0;113054;305;A21;S
922;0;2;Louch, Mr. Charles Alexander;male;50;1;0;SC/AH 3085;26;;S
923;0;2;Jefferys, Mr. Clifford Thomas;male;24;2;0;C.A. 31029;315;;S
924;1;3;Dean, Mrs. Bertram (Eva Georgetta Light);female;33;1;2;C.A. 2315;20575;;S
926;0;1;Mock, Mr. Philipp Edmund;male;30;1;0;13236;5775;C78;C
929;1;3;Cacic, Miss. Manda;female;21;0;0;315087;86625;;S
930;0;3;Sap, Mr. Julius;male;25;0;0;345768;95;;S
932;0;3;Karun, Mr. Franz;male;39;0;1;349256;134167;;C
934;0;3;Goldsmith, Mr. Nathan;male;41;0;0;SOTON/O.Q. 3101263;785;;S
935;1;2;Corbett, Mrs. Walter H (Irene Colvin);female;30;0;0;237249;13;;S
936;1;1;Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons);female;45;1;0;11753;525542;D19;S
937;0;3;Peltomaki, Mr. Nikolai Johannes;male;25;0;0;STON/O 2. 3101291;7925;;S
938;0;1;Chevre, Mr. Paul Romaine;male;45;0;0;PC 17594;297;A9;C
940;1;1;Bucknell, Mrs. William Robert (Emma Eliza Ward);female;60;0;0;11813;762917;D15;C
941;1;3;"Coutts, Mrs. William (Winnie Minnie"" Treanor)""";female;36;0;2;C.A. 37671;159;;S
942;0;1;Smith, Mr. Lucien Philip;male;24;1;0;13695;60;C31;S
943;0;2;Pulbaum, Mr. Franz;male;27;0;0;SC/PARIS 2168;150333;;C
944;1;2;"Hocking, Miss. Ellen Nellie""""";female;20;2;1;29105;23;;S
945;1;1;Fortune, Miss. Ethel Flora;female;28;3;2;19950;263;C23 C25 C27;S
947;0;3;Rice, Master. Albert;male;10;4;1;382652;29125;;Q
948;0;3;Cor, Mr. Bartol;male;35;0;0;349230;78958;;S
949;0;3;Abelseth, Mr. Olaus Jorgensen;male;25;0;0;348122;765;F G63;S
951;1;1;Chaudanson, Miss. Victorine;female;36;0;0;PC 17608;262375;B61;C
952;0;3;Dika, Mr. Mirko;male;17;0;0;349232;78958;;S
953;0;2;McCrae, Mr. Arthur Gordon;male;32;0;0;237216;135;;S
954;0;3;Bjorklund, Mr. Ernst Herbert;male;18;0;0;347090;775;;S
955;1;3;Bradley, Miss. Bridget Delia;female;22;0;0;334914;7725;;Q
956;0;1;Ryerson, Master. John Borie;male;13;2;2;PC 17608;262375;B57 B59 B63 B66;C
958;1;3;Burns, Miss. Mary Delia;female;18;0;0;330963;78792;;Q
959;0;1;Moore, Mr. Clarence Bloomfield;male;47;0;0;113796;424;;S
960;0;1;Tucker, Mr. Gilbert Milligan Jr;male;31;0;0;2543;285375;C53;C
961;1;1;Fortune, Mrs. Mark (Mary McDougald);female;60;1;4;19950;263;C23 C25 C27;S
962;1;3;Mulvihill, Miss. Bertha E;female;24;0;0;382653;775;;Q
963;0;3;Minkoff, Mr. Lazar;male;21;0;0;349211;78958;;S
964;1;3;Nieminen, Miss. Manta Josefina;female;29;0;0;3101297;7925;;S
966;1;1;Geiger, Miss. Amalie;female;35;0;0;113503;2115;C130;C
969;1;1;Cornell, Mrs. Robert Clifford (Malvina Helen Lamson);female;55;2;0;11770;257;C101;S
970;0;2;Aldworth, Mr. Charles Augustus;male;30;0;0;248744;13;;S
971;1;3;Doyle, Miss. Elizabeth;female;24;0;0;368702;775;;Q
972;0;3;Boulos, Master. Akar;male;6;1;1;2678;152458;;C
973;0;1;Straus, Mr. Isidor;male;67;1;0;PC 17483;2217792;C55 C57;S
974;0;1;Case, Mr. Howard Brown;male;49;0;0;19924;26;;S
978;1;3;Barry, Miss. Julia;female;27;0;0;330844;78792;;Q
979;1;3;Badman, Miss. Emily Louisa;female;18;0;0;A/4 31416;805;;S
981;0;2;Wells, Master. Ralph Lester;male;2;1;1;29103;23;;S
982;1;3;Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson);female;22;1;0;347072;139;;S
984;1;1;Davidson, Mrs. Thornton (Orian Hays);female;27;1;2;F.C. 12750;52;B71;S
986;0;1;Birnbaum, Mr. Jakob;male;25;0;0;13905;26;;C
987;0;3;Tenglin, Mr. Gunnar Isidor;male;25;0;0;350033;77958;;S
988;1;1;Cavendish, Mrs. Tyrell William (Julia Florence Siegel);female;76;1;0;19877;7885;C46;S
989;0;3;Makinen, Mr. Kalle Edvard;male;29;0;0;STON/O 2. 3101268;7925;;S
990;1;3;Braf, Miss. Elin Ester Maria;female;20;0;0;347471;78542;;S
991;0;3;Nancarrow, Mr. William Henry;male;33;0;0;A./5. 3338;805;;S
992;1;1;Stengel, Mrs. Charles Emil Henry (Annie May Morris);female;43;1;0;11778;554417;C116;C
993;0;2;Weisz, Mr. Leopold;male;27;1;0;228414;26;;S
995;0;3;Johansson Palmquist, Mr. Oskar Leander;male;26;0;0;347070;7775;;S
996;1;3;"Thomas, Mrs. Alexander (Thamine Thelma"")""";female;16;1;1;2625;85167;;C
997;0;3;Holthen, Mr. Johan Martin;male;28;0;0;C 4001;22525;;S
998;0;3;Buckley, Mr. Daniel;male;21;0;0;330920;78208;;Q
1002;0;2;Stanton, Mr. Samuel Ward;male;41;0;0;237734;150458;;C
1004;1;1;Evans, Miss. Edith Corse;female;36;0;0;PC 17531;316792;A29;C
1006;1;1;Straus, Mrs. Isidor (Rosalie Ida Blun);female;63;1;0;PC 17483;2217792;C55 C57;S
1007;0;3;Chronopoulos, Mr. Demetrios;male;18;1;0;2680;144542;;C
1009;1;3;Sandstrom, Miss. Beatrice Irene;female;1;1;1;PP 9549;167;G6;S
1010;0;1;Beattie, Mr. Thomson;male;36;0;0;13050;752417;C6;C
1011;1;2;Chapman, Mrs. John Henry (Sara Elizabeth Lawry);female;29;1;0;SC/AH 29037;26;;S
1012;1;2;Watt, Miss. Bertha J;female;12;0;0;C.A. 33595;1575;;S
1014;1;1;Schabert, Mrs. Paul (Emma Mock);female;35;1;0;13236;5775;C28;C
1015;0;3;Carver, Mr. Alfred John;male;28;0;0;392095;725;;S
1017;1;3;Cribb, Miss. Laura Alice;female;17;0;1;371362;161;;S
1018;0;3;Brobeck, Mr. Karl Rudolf;male;22;0;0;350045;77958;;S
1020;0;2;Bowenur, Mr. Solomon;male;42;0;0;211535;13;;S
1021;0;3;Petersen, Mr. Marius;male;24;0;0;342441;805;;S
1022;0;3;Spinner, Mr. Henry John;male;32;0;0;STON/OQ. 369943;805;;S
1023;0;1;Gracie, Col. Archibald IV;male;53;0;0;113780;285;C51;C
1026;0;3;Dintcheff, Mr. Valtcho;male;43;0;0;349226;78958;;S
